digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
576;832;544;544;62500;46875;31250;62500;8000000;5000000;6000000;3000000;288;256;288;288;31250;31250;0;62500;288;544;0;544;78125;46875;78125;62500;6000000;4000000;9000000;6000000;576;288;576;256;15625;93750;46875;62500;6000000;7000000;2000000;4000000;832;576;832;576;62500;46875;62500;78125;6000000;4000000;4000000;6000000;576;288;576;832;15625;31250;15625;93750;4000000;7000000;6000000;9000000;544;576;832;832;62500;0;0;46875;6000000;3000000;5000000;6000000;0;256;256;576;62500;46875;46875;62500;3000000;3000000;2000000;2000000;
1089;1089;697;697;93874;54999;93874;93874;11998999;10500499;11998999;8001999;697;697;697;697;93874;93874;499;93874;697;697;49;697;93874;54999;117124;117124;10500499;10500499;11998999;11998999;1089;697;1089;697;54999;117124;117124;117124;11998999;11998999;4503499;10500499;1089;1089;1089;1089;93874;93874;93874;117124;10500499;8001999;8001999;8001999;1089;697;1089;1089;54999;54999;54999;117124;8001999;11998999;10500499;11998999;697;1089;1089;1089;93874;499;499;117124;8001999;10500499;10500499;8001999;49;697;697;1089;93874;93874;93874;93874;4503499;8001999;8001999;4503499;
1147;1147;1072;1072;93874;93625;93874;124750;11998999;11998000;11998000;8001999;1072;1072;1072;1072;93874;93874;499;93874;1072;1072;49;1072;124750;93625;93874;93874;11998000;8001999;11998999;11998000;1147;1072;1147;1072;93625;124750;93874;93874;11998000;11998000;7999000;8001999;1147;1147;1147;1147;93874;93874;93874;93874;8001999;8001999;8001999;8001999;1147;1072;1147;1147;93625;93625;93625;124750;8001999;11998000;11998000;11998999;1072;1147;1147;1147;124750;499;499;93874;11998000;8001999;8001999;11998000;49;1072;1072;1147;93874;93874;93874;93874;7999000;8001999;8001999;7999000;
1274;1274;1274;1274;125249;125249;93812;125249;12502499;10002999;12502499;7503499;882;833;882;882;93812;93812;499;125249;882;1274;49;1274;125249;125249;125249;125249;10002999;10002999;12502499;12502499;1274;882;1274;833;62874;125249;125249;125249;12502499;12502499;7503499;10002999;1274;1274;1274;1274;125249;93812;125249;125249;12502499;10002999;10002999;12502499;1274;882;1274;1274;62874;94311;62874;125249;10002999;12502499;10002999;12502499;1274;1274;1274;1274;125249;499;499;125249;12502499;10002999;10002999;12502499;49;833;833;1274;125249;94311;93812;125249;10002999;7503499;7503499;5003999;
408;408;457;457;8372;8871;8871;8871;128385;128385;128385;128385;408;457;408;408;8372;8871;8372;8372;408;457;408;457;8871;8871;8372;8372;128385;123386;123386;128385;408;408;408;457;8871;8871;8871;8372;128385;128385;128385;128385;408;408;408;408;8871;8871;8871;8372;128385;128385;123386;123386;408;408;408;408;8871;8871;8871;8871;123386;128385;128385;128385;457;408;408;408;8871;8372;8372;8871;128385;128385;123386;128385;408;457;457;408;8372;8871;8871;8871;123386;128385;128385;128385;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
104;344;-;-;1005;2518;-;-;10002;11679;-;-;105;643;-;-;1008;1683;-;-;102;394;-;-;1006;2255;-;-;10005;11735;-;-;106;1076;-;-;1006;1520;-;-;10006;11440;-;-;107;349;-;-;1003;1736;-;-;10003;11009;-;-;103;680;-;-;1005;2292;-;-;10005;11319;-;-;106;1445;-;-;1002;1526;-;-;10003;11652;-;-;107;1705;-;-;1003;1979;-;-;10006;11408;-;-;
203;204;204;204;3506;3506;3506;3506;55008;55005;55006;55005;203;203;203;203;3506;3506;3506;3506;203;204;203;204;3506;3506;3631;3506;56088;55005;55008;55006;203;203;203;203;3506;3506;3506;3506;55755;56089;55005;55672;204;203;204;203;3631;3506;3631;3631;56088;55005;55005;55671;203;203;203;204;3506;3506;3506;3506;55005;56084;55005;55675;204;203;204;204;3506;3506;3506;3506;55006;55005;55341;55006;203;203;203;203;3631;3631;3506;3631;55005;55005;55005;55005;
667;442;937;937;31996;62750;31749;62872;2507496;4506492;2507497;8501500;697;937;442;442;78000;31749;31875;31996;442;937;445;937;62500;62750;31748;31748;3510494;2506499;2505499;2507497;697;442;697;937;31997;47000;31624;31748;3508491;2509495;2509495;4504497;442;697;442;697;32370;62872;32370;31748;2508495;8501500;2509494;8503497;667;442;697;442;31997;62750;31997;47000;6506498;4504497;2508492;3506497;937;697;442;442;78000;31875;31875;31624;8501500;2506498;2508497;8501500;445;937;937;697;47498;62997;62872;32370;7503500;8503497;2509492;4507497;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
153;169;184;184;3006;3062;3263;3252;48394;48857;48359;47390;139;217;221;221;1839;3263;3352;3006;221;184;220;184;2252;3062;3085;3379;37466;47948;44443;48359;202;221;202;217;3347;3078;3580;3379;44117;46849;49670;49792;169;202;169;202;2970;3249;2970;3085;44890;48668;45856;43663;153;221;202;169;3532;3213;3347;3078;45376;47623;49095;47217;184;202;169;169;2471;3352;3352;3580;44344;49226;46780;45400;220;217;217;202;2278;3434;3249;2970;36695;50448;49843;50091;
109;327;-;-;1009;4036;-;-;10009;40036;-;-;109;327;-;-;1009;3027;-;-;109;327;-;-;1009;4036;-;-;10009;40036;-;-;109;327;-;-;1009;3027;-;-;10009;40036;-;-;109;327;-;-;1009;3027;-;-;10009;40036;-;-;109;327;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;3027;-;-;10009;40036;-;-;109;436;-;-;1009;3027;-;-;10009;40036;-;-;
53;66;-;-;31753;539;-;-;1005003;5042;-;-;53;74;-;-;504;527;-;-;341;68;-;-;503;536;-;-;5003;1005042;-;-;53;82;-;-;16129;523;-;-;3005004;5038;-;-;310;66;-;-;503;528;-;-;1005003;1005032;-;-;629;75;-;-;16128;536;-;-;1005004;5037;-;-;341;87;-;-;31753;523;-;-;1005003;5041;-;-;54;91;-;-;16128;532;-;-;5004;5038;-;-;
200;225;222;222;3665;3726;3263;3352;48640;49632;48523;47390;182;266;222;222;2338;3762;3352;3291;255;255;220;222;2934;3726;3352;3223;42003;52947;45856;48523;233;255;216;217;3846;3471;3571;3223;45421;50669;46908;49843;225;233;208;216;3601;3665;3352;3352;48907;50632;47806;46633;200;255;216;208;3726;3712;3347;3347;50375;51090;49644;49843;255;233;208;208;2801;3851;3352;3571;46099;54225;46908;46809;269;266;217;216;2801;3781;3291;3352;41694;51090;49843;47806;
148;388;388;388;4718;4568;4634;4634;81619;81379;81379;81435;148;388;148;148;4634;4634;4484;4718;148;388;148;388;4718;4568;4766;4832;81547;81619;81619;81379;148;148;148;388;4634;4916;4682;4832;81435;81547;81379;81363;388;148;388;148;4766;4634;4766;4766;81363;81435;81619;81603;148;148;148;388;4682;4568;4634;4916;81603;81603;81619;81547;388;148;388;388;4634;4484;4484;4682;81603;81379;81435;81603;148;388;388;148;4766;4766;4634;4766;81363;81435;81379;81435;
