digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;
506;690;611;522;57063;62537;64283;62535;5591209;6340612;6302640;6282729;
1120;1180;1147;1204;122539;123847;124672;123210;12359950;12497224;12484297;12488455;
925;1054;972;874;94615;94122;96547;97489;9227097;9526797;9465547;9443344;
980;1274;1176;1078;111776;122255;121756;116267;11192761;12442511;12392521;12187562;
457;555;457;457;8871;9370;9370;9869;128385;148381;148381;143382;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;2009;-;-;1000;2561;-;-;10000;10165;-;-;
233;264;271;260;3947;4785;4734;4722;61849;91743;88817;91532;
357;280;264;261;15145;5652;4698;5416;1264706;68468;67548;70516;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
245;263;268;265;3813;4279;4293;4291;54410;59560;59536;59547;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;
233;112;-;-;17447;1897;-;-;1640827;144697;-;-;
300;306;275;275;3962;4703;4347;4302;57678;61748;60263;60358;
404;445;434;386;7448;7779;7796;7978;112473;115754;115533;115803;
