digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;500000;500000;500000;500000;
66;103;54;70;6565;9492;7945;8723;691059;767633;769594;750775;67463621;80062818;79291485;79835169;6834592549;7968304374;7928069403;7928274156;
1015;1204;1015;874;113575;118309;118080;123154;12105445;12280030;12463047;12299994;1235709189;1247453865;1245506445;1247856289;123727173975;124917451965;124976708134;124993542474;
279;235;235;235;15472;18259;16405;15004;1322872;1341774;1407805;1237615;127187422;132393997;127187422;129271504;12873291319;12820247055;12701799430;12792772774;
784;1127;784;882;87824;110778;96307;110778;11157768;12182563;11847630;11522695;1123427531;1238725225;1220575588;1205125897;112439775120;124834750330;124010251979;124503750992;
457;457;457;457;8871;8871;9370;9370;133384;148381;153380;148381;1783410;2183402;2133403;2133403;21833426;25333419;25333419;25333419;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;124999750000;124999750000;124999750000;124999750000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;1000000;1000000;-;-;
204;221;220;210;3567;4258;4055;4213;56396;73130;71940;72089;712468;1225932;1234223;1224643;8686624;18100508;17644099;18304817;
257;209;206;209;13955;3792;3750;3748;1269035;95797;79038;79442;125255073;2034250;2501922;1735954;12502372524;34979077;25371211;32416464;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;9475712;9475712;9475712;9475712;
265;292;293;289;3923;4494;4475;4509;51527;59529;58108;59585;654053;744796;744162;745123;7893213;9075426;9074425;9074224;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;1000009;4000036;-;-;
164;104;-;-;7113;845;-;-;696107;32180;-;-;67513669;2872524;-;-;6835092597;281354141;-;-;
265;292;293;289;3923;4494;4475;4509;51527;59529;58108;59585;654053;744796;744030;745123;7893213;9075426;9073924;9074224;
166;203;154;170;10565;13492;11945;12723;767411;843985;845946;827127;68556645;81155842;80384509;80928193;6848573093;7982284918;7942049947;7942254700;
