digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
603;610;662;617;470;596;592;523;599;669;580;560;524;652;609;573;501;518;540;651;474;644;534;638;667;523;688;570;604;599;577;581;575;689;732;607;561;680;551;647;55587;62060;66506;63179;5563232;6218846;6235187;6245900;
1189;1197;1189;1215;1189;1170;1120;1197;1204;1210;1170;1180;1180;1222;1222;1159;1054;1159;1189;1180;1197;1197;1197;1222;1197;1147;1180;1134;1204;1224;1189;1225;1197;1225;1210;1197;1180;1210;1222;1189;123154;124695;124344;124519;12397372;12497149;12493405;12496797;
972;1015;1054;949;925;972;972;900;1072;1015;925;925;925;994;994;925;925;874;994;1054;819;1035;949;1035;1105;925;1089;972;1015;994;900;972;972;1054;1054;1015;1015;994;847;1089;94122;95830;99099;92872;9265347;9353722;9403672;9468009;
1225;1078;1078;1176;1029;1225;1029;1127;1078;1176;1176;1029;1078;1225;1176;1029;1078;1078;1127;1029;1078;1176;1274;1225;1078;1176;1127;1029;1127;1225;1029;1225;1078;1274;1225;1078;1127;1274;1225;1078;111776;123752;120758;121257;11382723;12432513;12352529;12407518;
408;457;457;457;457;457;457;506;457;457;555;457;457;457;457;555;408;457;506;457;457;457;457;457;506;506;457;457;457;457;457;457;457;457;457;457;506;457;506;457;9370;9869;9370;9370;138383;143382;148381;153380;
1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
101;2006;-;-;100;1977;-;-;100;2041;-;-;100;1985;-;-;100;2040;-;-;100;1993;-;-;100;2004;-;-;100;2004;-;-;100;1927;-;-;100;1943;-;-;1000;2558;-;-;10000;10162;-;-;
254;277;252;259;265;261;295;245;253;271;278;265;247;275;263;259;242;253;256;257;227;294;250;246;241;283;306;273;246;293;284;282;235;240;325;257;251;277;284;244;3908;4754;4728;4692;62158;88130;92541;88695;
285;275;254;234;329;344;259;338;350;261;234;268;268;245;233;271;277;251;213;244;351;226;266;308;278;225;222;214;287;232;241;262;425;231;207;234;317;222;262;234;14508;4793;5011;4947;1277479;67785;72359;68384;
286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
248;271;259;266;263;271;265;272;253;270;267;275;256;261;262;266;250;277;273;262;248;263;261;265;262;276;261;267;240;264;268;264;249;264;259;270;246;269;268;264;3922;4300;4296;4283;54684;59620;59570;59606;
109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
237;115;-;-;234;108;-;-;190;105;-;-;215;104;-;-;168;110;-;-;206;109;-;-;228;111;-;-;206;107;-;-;250;117;-;-;169;112;-;-;16555;1955;-;-;1594541;143398;-;-;
389;269;273;485;263;271;280;283;264;280;281;283;256;276;279;284;266;287;268;275;279;284;277;281;263;281;283;275;257;494;266;277;262;616;269;279;287;294;453;276;4166;4531;4427;4397;58970;61103;60529;59825;
406;432;424;433;343;363;413;421;440;442;417;397;529;653;407;405;345;393;336;390;388;387;430;406;437;445;416;412;513;513;394;396;387;437;501;415;396;500;394;420;7429;7911;7814;7977;111531;115470;115815;115787;
