digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
49;49;0;0;643;49;0;0;0;0;0;0;614;625;625;0;609;625;625;0;0;0;625;625;625;0;625;625;618;625;625;625;0;0;0;0;0;625;625;0;0;625;625;625;0;55776;27556;27888;7739183;6250000;7812500;7812500;
49;49;49;49;949;49;49;49;49;49;49;49;949;949;949;49;949;949;949;49;49;49;949;949;949;49;949;949;949;949;949;949;49;49;49;49;49;949;949;49;49;949;949;949;499;70135;69472;70135;9376249;9376249;11718124;11718124;
49;49;49;49;1222;49;49;49;49;49;49;49;1225;1225;1225;49;1222;1225;1225;49;49;49;1225;1225;1225;49;1225;1225;1224;1225;1225;1225;49;49;49;49;49;1225;1225;49;49;1225;1225;1225;499;111384;110722;110889;12497269;9376249;12497500;9376249;
49;49;49;49;1225;49;49;49;49;49;49;49;1274;1274;1274;49;1225;1274;1274;49;49;49;1274;1274;1274;49;1274;1274;1274;1274;1274;1274;49;49;49;49;49;1274;1274;49;49;1274;1274;1274;499;125249;83333;83832;12472505;12502499;12502499;12502499;
408;408;408;408;457;408;408;408;408;408;408;408;457;457;457;408;457;457;457;408;408;408;457;457;457;408;457;457;457;457;457;457;408;408;408;408;408;457;457;408;408;457;457;457;8372;8871;8871;8871;128385;133384;133384;133384;
1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;2032;-;-;100;1943;-;-;100;1865;-;-;100;1985;-;-;100;1930;-;-;100;1976;-;-;100;2008;-;-;100;1938;-;-;100;1947;-;-;100;2004;-;-;100;2036;-;-;1000;2544;-;-;10000;10178;-;-;
203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;203;3506;3698;3609;3634;55005;55005;55005;56255;
306;211;211;211;737;211;211;211;271;211;211;211;778;625;625;211;708;625;625;211;248;211;625;625;648;211;625;625;785;625;625;625;294;211;211;211;308;625;625;211;280;625;625;625;14604;29885;4888;4944;2769329;3129999;6250000;1590471;
286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
259;295;295;295;238;295;295;295;272;295;295;295;237;250;250;295;235;250;250;295;258;295;250;250;244;295;250;250;226;250;250;250;272;295;295;295;273;250;250;295;260;250;250;250;3873;4136;4396;4356;51240;56882;57988;59338;
109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
101;115;-;-;248;115;-;-;54;93;-;-;151;94;-;-;191;95;-;-;54;94;-;-;129;95;-;-;72;94;-;-;54;94;-;-;54;96;-;-;54;96;-;-;504;605;-;-;1053767;8645;-;-;
259;295;295;295;270;295;295;295;272;295;295;295;256;295;295;295;257;295;295;295;258;295;295;295;277;295;295;295;259;295;295;295;272;295;295;295;273;295;295;295;309;319;295;295;4372;4885;4396;4602;57207;65629;59386;63432;
148;148;148;148;316;148;148;148;246;246;148;148;429;429;316;148;633;649;316;148;246;246;316;316;339;339;316;316;429;429;316;316;513;513;148;148;148;316;316;148;148;316;316;316;4484;4652;4614;4718;81309;81309;81409;81355;
